dataset,ftrain,ftest,nin,nout
cancer,0.9462117719379131,0.9687892376681615,34,2
cancer,0.9564444444444444,0.975117975117975,34,2
cancer,0.962393897066724,0.975117975117975,34,2
cancer,0.9562874678846702,0.9814016460612107,34,2
cancer,0.9494748998520337,0.9814016460612107,34,2
cancer,0.9530793361396359,0.975117975117975,34,2
cancer,0.9468232476249208,0.962413594470046,34,2
cancer,0.9498585294222985,0.9687892376681615,34,2
cancer,0.9529042386185244,0.9814016460612107,34,2
cancer,0.9496692551049756,0.9687892376681615,34,2
cancer,0.9529042386185244,0.9814016460612107,34,2
cancer,0.9561262132445113,0.975117975117975,34,2
cancer,0.9593354246543511,0.9559891598915989,34,2
cancer,0.9500428204396232,0.9814016460612107,34,2
cancer,0.9496692551049756,0.975117975117975,34,2
cancer,0.9466248037676609,0.975117975117975,34,2
cancer,0.962393897066724,0.9814016460612107,34,2
cancer,0.9496692551049756,0.975117975117975,34,2
cancer,0.9593354246543511,0.9876420454545455,34,2
cancer,0.9562874678846702,0.962413594470046,34,2
cancer,0.959483165477876,0.975117975117975,34,2
cancer,0.953415735720814,0.9877205363443896,34,2
cancer,0.9562874678846702,0.9876420454545455,34,2
cancer,0.9500428204396232,0.9814016460612107,34,2
cancer,0.9527244239133371,0.975117975117975,34,2
cancer,0.9593354246543511,0.9687892376681615,34,2
cancer,0.9527244239133371,0.9687892376681615,34,2
cancer,0.9466248037676609,0.9876420454545455,34,2
cancer,0.9496692551049756,0.9814016460612107,34,2
cancer,0.9500428204396232,0.9687892376681615,34,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
gene,0.88376097681862,0.865372419785341,145,3
gene,0.88376097681862,0.865372419785341,145,3
