,dataset,best_lamb,f1_best_lamb
0,abalone,0.1,0.099
1,adult,0.1,0.754
2,cancer,0.1,0.981
3,card,0.1,0.866
4,covtype,0.1,0.482
5,gene,7.0,0.86
6,glass,0.1,0.552
7,heart,0.1,0.799
8,horse,1.0,0.628
9,madelon,7.0,0.608
10,optdigits,0.5,0.924
11,page-blocks,0.1,0.499
12,pendigits,0.1,0.868
13,poker,0.1,0.091
14,satimage,0.1,0.735
15,segmentation,0.1,0.871
16,shuttle,0.1,0.354
17,soybean,0.5,0.945
18,spect,0.5,0.559
19,thyroid,0.1,0.444
20,vehicle,0.1,0.751
21,waveform,1.5,0.844
