run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,bestepoch,totalepochs,loss,stopreason
16,shuttle,9,7,7113.1597501,0.48754766210713024,0.5005612278409698,0.9966206896551724,0.9966896551724138,945,1325,0.0007965793364975328,consecincrease
17,shuttle,9,7,3765.4958932,0.5143370382738934,0.521726518108755,0.9985287356321839,0.9984137931034482,674,705,0.0006926935919846282,consecincrease
18,shuttle,9,7,5793.3245707,0.4907930398054553,0.5007868323958864,0.9974712643678161,0.9973793103448276,1002,1085,0.0007811716299923214,consecincrease
19,shuttle,9,7,1841.0783267,0.4862231685831247,0.4948284077856006,0.9870114942528736,0.9862758620689656,331,345,0.0007971580587420044,consecincrease
20,shuttle,9,7,9645.2852861,0.5016420673574504,0.49827619198352063,0.9984137931034482,0.9983448275862069,839,1790,0.0007607689780353364,consecincrease
21,shuttle,9,7,1202.1823445,0.4819245358682469,0.49568408621857424,0.9898620689655172,0.9895862068965517,214,220,0.0008536425642455627,consecincrease
22,shuttle,9,7,3358.6013239,0.5485414503709334,0.5680749843762278,0.9985287356321839,0.9986206896551724,524,620,0.0006136834946737098,consecincrease
23,shuttle,9,7,5681.5495675,0.5436641176445661,0.5402761536163111,0.998551724137931,0.9984137931034482,347,1060,0.0006545527184833646,consecincrease
24,shuttle,9,7,5872.9774817,0.590597853208977,0.5632513530721156,0.9914022988505747,0.9908275862068966,846,1085,0.00062026127110558,consecincrease
25,shuttle,9,7,14604.3608806,0.5624104583843905,0.5589585080170932,0.9982988505747127,0.9980689655172413,1902,2730,0.0006102896203404563,consecincrease
26,shuttle,9,7,735.4056043,0.46605172686961577,0.4849312121000659,0.9879540229885058,0.9869655172413793,99,135,0.0010910235655654493,consecincrease
27,shuttle,9,7,5534.4605387,0.4695016851757253,0.4855186647651089,0.9829885057471265,0.984551724137931,845,1030,0.0007844997331320345,consecincrease
28,shuttle,9,7,3825.2558143,0.5731277755475988,0.5031620731495761,0.9979770114942529,0.9982068965517241,630,705,0.0007566384122792608,consecincrease
29,shuttle,9,7,2993.2976894,0.4906227113478429,0.5004509523425825,0.9982528735632183,0.9984137931034482,512,555,0.0007862604285134278,consecincrease
30,shuttle,9,7,3976.058934,0.5292237925005617,0.5447073613184034,0.9982988505747127,0.9983448275862069,602,740,0.0007332131111476325,consecincrease
1,spect,22,2,1.0819764,0.411647783740807,0.1865842490842491,0.5375,0.18716577540106952,67,85,0.5225897092144918,consecincrease
2,spect,22,2,1.0911383,0.3605246976839517,0.13307005494505494,0.5125,0.13368983957219252,79,90,0.5774672710014094,noprogress
3,spect,22,2,2.0150483,0.6536796536796536,0.38364427860696515,0.6875,0.43315508021390375,160,165,0.4306809255767832,noprogress
4,spect,22,2,0.900565,0.3605246976839517,0.14416475972540044,0.5125,0.1443850267379679,56,75,0.5391571174644133,consecincrease
5,spect,22,2,1.1073367,0.3333333333333333,0.09848484848484848,0.5,0.10160427807486631,80,90,0.5997263590442523,noprogress
6,spect,22,2,2.6518271,0.6484110885733604,0.39677419354838706,0.675,0.46524064171123,179,220,0.47582910544830104,consecincrease
7,spect,22,2,2.4333649,0.6375230743413325,0.4039162112932605,0.6625,0.47593582887700536,179,200,0.4360693363551981,consecincrease
8,spect,22,2,0.967456,0.3605246976839517,0.14416475972540044,0.5125,0.1443850267379679,60,80,0.5276142261738566,consecincrease
9,spect,22,2,2.0570203,0.6086652690426275,0.38742083424328455,0.65,0.4385026737967914,161,170,0.4503221355112325,noprogress
10,spect,22,2,0.8963391,0.411647783740807,0.1865842490842491,0.5375,0.18716577540106952,57,75,0.5036284164185211,consecincrease
11,spect,22,2,2.2344381,0.5238095238095238,0.2768586631000494,0.6,0.2887700534759358,167,185,0.5656845981567983,consecincrease
12,spect,22,2,1.0321384,0.38660209846650523,0.1550560512468543,0.525,0.15508021390374332,64,85,0.5423925648976338,consecincrease
13,spect,22,2,1.8220467,0.5029184710977217,0.2634383688600556,0.5875,0.2727272727272727,147,150,0.5133513340746702,noprogress
14,spect,22,2,1.555596,0.4357366771159875,0.23098380927731288,0.55,0.23529411764705882,125,130,0.5329638382698102,noprogress
15,spect,22,2,1.2057804,0.3333333333333333,0.10439071955031691,0.5,0.10695187165775401,83,100,0.5958486071838867,consecincrease
16,spect,22,2,0.9118143,0.3333333333333333,0.11023847741343729,0.5,0.11229946524064172,1,75,0.5307245391965382,consecincrease
17,spect,22,2,2.1154328,0.5238095238095238,0.2943396226415095,0.6,0.31016042780748665,156,175,0.538641217653683,consecincrease
18,spect,22,2,0.9434686,0.4357366771159875,0.22620689655172416,0.55,0.22994652406417113,54,75,0.47062085113031416,consecincrease
19,spect,22,2,1.2333849,0.3605246976839517,0.12744396415996334,0.5125,0.12834224598930483,79,100,0.560007662572936,consecincrease
20,spect,22,2,2.4861105,0.6153846153846154,0.3677685950413223,0.65,0.42245989304812837,185,205,0.46405772224656944,consecincrease
21,spect,22,2,1.709798,0.38660209846650523,0.17102817102817103,0.525,0.1711229946524064,122,140,0.5920428621260874,consecincrease
22,spect,22,2,1.4509432,0.4357366771159875,0.22139267767408471,0.55,0.22459893048128343,113,120,0.5571067001878207,noprogress
23,spect,22,2,2.2474553,0.6153846153846154,0.3454174656804554,0.65,0.3850267379679144,163,185,0.45718616077602736,consecincrease
24,spect,22,2,2.1874325,0.5636363636363637,0.3280372999138776,0.625,0.35294117647058826,160,180,0.5143251826963691,consecincrease
25,spect,22,2,1.0400874,0.3333333333333333,0.11023847741343729,0.5,0.11229946524064172,65,85,0.5832229286101633,consecincrease
26,spect,22,2,2.2004665,0.5238095238095238,0.28565596477415217,0.6,0.2994652406417112,158,180,0.5455707749035202,consecincrease
27,spect,22,2,1.4803495,0.3605246976839517,0.1550560512468543,0.5125,0.15508021390374332,102,120,0.6047679494978538,consecincrease
28,spect,22,2,2.2483214,0.5054545454545455,0.3017425320056899,0.575,0.32620320855614976,177,185,0.5290437328216157,noprogress
29,spect,22,2,1.9881694,0.5029184710977217,0.2679425837320574,0.5875,0.27807486631016043,149,165,0.5747260427971091,noprogress
30,spect,22,2,1.0290084,0.411647783740807,0.20671864251318506,0.5375,0.20855614973262032,66,85,0.5262642221381272,consecincrease
1,vehicle,18,4,30.9365588,0.8860560265535897,0.814103028914223,0.9937007874015747,0.9715639810426541,325,345,0.06137430427908952,consecincrease
