run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,nsel,nenhanced,sel,coefs
13,cancer,34,2,0.0309113,0.9561262132445113,0.975117975117975,0.96,0.9770114942528736,"[7]","[5]","[10000100001100000001010000010000000]","[[1.6764639005515867,0.0,0.0,0.0,0.0,-0.4402841950024775,0.0,0.0,0.0,0.0,-0.3723105992550963,-0.23089264383542096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31569837253228533,0.0,-0.40985787746910607,0.0,0.0,0.0,0.0,0.0,-0.9110745931141996,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
14,cancer,34,2,0.0214607,0.959483165477876,0.9687892376681615,0.9628571428571429,0.9712643678160919,"[5]","[4]","[10000000000001000000000101000000001]","[[1.3308796000626113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1755539795611029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3267225656600858,0.0,-0.6443905945903159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2837385209007696]]"
15,cancer,34,2,0.0259372,0.9494748998520337,0.975117975117975,0.9542857142857143,0.9770114942528736,"[6]","[4]","[10001000000000000000110100000001000]","[[1.5809463927013192,0.0,0.0,0.0,0.2966964537790625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26231739479042776,-0.24307378503602753,0.0,-0.7745505177611848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5597600746057669,0.0,0.0,0.0]]"
16,cancer,34,2,0.0658995,0.9529042386185244,0.975284090909091,0.9571428571428572,0.9770114942528736,"[7]","[4]","[10000001010000010001001000000010000]","[[1.0694062173863323,0.0,0.0,0.0,0.0,0.0,0.0,0.3961012330948373,0.0,0.2117487553270143,0.0,0.0,0.0,0.0,0.0,-0.7121171790282576,0.0,0.0,0.0,-0.7824020585830367,0.0,0.0,0.21667970816242127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44099985213462867,0.0,0.0,0.0,0.0]]"
17,cancer,34,2,0.0349606,0.9530793361396359,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[7]","[3]","[11000110001000001000000000000010000]","[[1.1563082038073906,0.3117077301921282,0.0,0.0,0.0,0.18111275415623088,0.22415357530290747,0.0,0.0,0.0,-0.558492480908071,0.0,0.0,0.0,0.0,0.0,-0.6795238845759427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2823316079617849,0.0,0.0,0.0,0.0]]"
18,cancer,34,2,0.0702161,0.9530793361396359,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[8]","[4]","[11100010000010000100110000000000000]","[[0.5187556197439073,0.3829902001355404,0.2740849998942099,0.0,0.0,0.0,0.30581871333314825,0.0,0.0,0.0,0.0,0.0,-0.5984507984012932,0.0,0.0,0.0,0.0,-0.206118524285437,0.0,0.0,-0.22204100796204873,-0.27203152514605417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
19,cancer,34,2,0.0203804,0.959483165477876,0.9876420454545455,0.9628571428571429,0.9885057471264368,"[4]","[3]","[10000000000000000101001000000000000]","[[1.3167818481511175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22131622988482635,0.0,-1.0515111984090255,0.0,0.0,-0.23450748211956346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
20,cancer,34,2,0.0231058,0.9562874678846702,0.9687892376681615,0.96,0.9712643678160919,"[4]","[3]","[10000000000001000000010100000000000]","[[1.01013389126647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.430410556877364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8436534058517358,0.0,0.19724669796811675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
21,cancer,34,2,0.0256502,0.9562874678846702,0.9814016460612107,0.96,0.9827586206896551,"[4]","[3]","[10000000000000000010010100000000000]","[[0.9906031216778298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9269336660082446,0.0,0.0,0.6923184140363575,0.0,-0.35419132098905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
22,cancer,34,2,0.0405491,0.9498585294222985,0.9877205363443896,0.9542857142857143,0.9885057471264368,"[7]","[3]","[10010001100000000000000000110001000]","[[0.6584109510559516,0.0,0.0,0.17112818302428082,0.0,0.0,0.0,0.23699355883992018,0.2630900882005551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7276108053321707,0.32211433607054996,0.0,0.0,0.0,-0.21882881064504706,0.0,0.0,0.0]]"
23,cancer,34,2,0.0593288,0.9530793361396359,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[5]","[4]","[10000000000100100000000010000001000]","[[1.3901809618975565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760544026645284,0.0,0.0,-0.6897901117046437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2701105580563481,0.0,0.0,0.0,0.0,0.0,0.0,-0.1974693962065945,0.0,0.0,0.0]]"
