run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,nsel,nenhanced,sel,coefs
1,cancer,34,2,0.0052353,0.9494748998520337,0.975117975117975,0.9542857142857143,0.9770114942528736,"[8]","[3]","[11111000000000000000000100000010001]","[[0.7939181678979889,0.12115074122751712,0.13522342443691263,0.20692566829782183,0.14614994601814438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3334036724548714,0.0,0.0,0.0,0.0,0.0,0.0,-0.10505898787989615,0.0,0.0,0.0,-0.4735408695409091]]"
2,cancer,34,2,0.0043231,0.959483165477876,0.975117975117975,0.9628571428571429,0.9770114942528736,"[8]","[4]","[10000011100000010000010000000110000]","[[0.816663891455264,0.0,0.0,0.0,0.0,0.0,0.1874724104954618,0.0798651765891154,0.03298731787053087,0.0,0.0,0.0,0.0,0.0,0.0,-0.040635189803333624,0.0,0.0,0.0,0.0,0.0,-0.23066634565934543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04908455730866687,-0.7538191363252476,0.0,0.0,0.0,0.0]]"
3,cancer,34,2,0.0039421,0.9593354246543511,0.9814016460612107,0.9628571428571429,0.9827586206896551,"[9]","[6]","[11000000100110000000001110000010000]","[[1.1200080597293165,0.14970882351049547,0.0,0.0,0.0,0.0,0.0,0.0,0.21848833477564708,0.0,0.0,-0.10844930329860218,-0.11210299543569233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052648966323867466,-0.21249430358387383,-0.17174475791875002,0.0,0.0,0.0,0.0,0.0,-0.6265521082912745,0.0,0.0,0.0,0.0]]"
4,cancer,34,2,0.005226,0.9562874678846702,0.975117975117975,0.96,0.9770114942528736,"[14]","[9]","[11100100101001011010011000000001010]","[[1.4280856340314532,0.13184403344324855,0.12842406237406145,0.0,0.0,-2.3176006101455365e-16,0.0,0.0,-0.19186105774811546,0.0,-0.6485272678581754,0.0,0.0,0.09483272033055268,0.0,0.21285412051661606,-0.25525435861102364,0.0,-0.5023624908258902,0.0,0.0,-0.3254894519582809,-0.0868253987295214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10894873123622167,0.0,0.060516509242645546,0.0]]"
5,cancer,34,2,0.0034326,0.9464210137684488,0.9814016460612107,0.9514285714285714,0.9827586206896551,"[8]","[2]","[11110110000000100001000000000000000]","[[0.9772057790053305,8.373038362475231e-16,2.3691951952781606e-16,0.014626634015009722,0.0,0.19405101655095558,0.14974341145053643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8653766366457333,0.0,0.0,0.0,0.0,-0.23026253048690598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
6,cancer,34,2,0.0042994,0.9562874678846702,0.975117975117975,0.96,0.9770114942528736,"[12]","[6]","[11110011000000000000101000010111000]","[[0.2162635383658364,0.2796024992813509,0.29608534577748796,0.11029354323456675,0.0,0.0,0.31665870945724495,0.2607715842179773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10680859085284185,0.0,-0.13830217640066803,0.0,0.0,0.0,0.0,-0.05443786783610054,0.0,0.329746848288775,-0.2310154927159669,-0.2235504099284598,0.0,0.0,0.0]]"
7,cancer,34,2,0.0037584,0.9527244239133371,0.975117975117975,0.9571428571428572,0.9770114942528736,"[8]","[6]","[11000000000000100000000001101010001]","[[0.9639080507591578,0.18577642056613256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43192128224935533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17479446244004693,-0.08726818119692648,0.0,-0.11958623296285543,0.0,-0.23027741471065347,0.0,0.0,0.0,-0.09480997521399076]]"
8,cancer,34,2,0.0031321,0.9530793361396359,0.9687892376681615,0.9571428571428572,0.9712643678160919,"[9]","[3]","[11111010000100000000010100000000000]","[[0.765918797453875,0.1077842612338031,4.669045298294276e-16,2.853045944508307e-16,0.10832265331886151,0.0,0.27371072785600176,0.0,0.0,0.0,0.0,-0.5114062531967426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3138024915093627,0.0,-0.07853212738033793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
9,cancer,34,2,0.0043892,0.9529042386185244,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[10]","[4]","[11110010100000010000000000000001110]","[[0.6772865641573951,-5.521542126542341e-16,0.07625323743077615,0.21728519803087176,0.0,0.0,0.09023629576692656,0.0,0.20210748021376712,0.0,0.0,0.0,0.0,0.0,0.0,-0.3817876305399275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2867213508554984,-0.03047170339109164,-0.24298417331502184,0.0]]"
10,cancer,34,2,0.004885,0.9496692551049756,0.975117975117975,0.9542857142857143,0.9770114942528736,"[15]","[8]","[11100011110001001110000000001011001]","[[0.00609101011038294,0.3588735822554331,0.14887622646230925,0.0,0.0,0.0,0.37566666945655924,0.06528018964484866,0.09303340071572316,-0.018214043827191745,0.0,0.0,0.0,-0.17564194375677858,0.0,0.0,0.3212991046873098,-0.11064914831380092,-0.3034734145137827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000557341043966153,0.0,0.36839207945863905,-0.16498649443386626,0.0,0.0,-0.08696928580990283]]"
11,cancer,34,2,0.0061591,0.9498585294222985,0.9814016460612107,0.9542857142857143,0.9827586206896551,"[12]","[6]","[11001101100000000001100000011010100]","[[1.1209866684754242,0.03955207307396668,0.0,0.0,2.726302758577069e-16,-2.614134002598101e-16,0.0,0.19084498207753342,0.0726674538246532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047554138039362176,-0.17826658539032092,0.0,0.0,0.0,0.0,0.0,0.0,-0.3064434226994002,-0.09852289193889013,0.0,-0.1668100640444083,0.0,-0.4901217067782188,0.0,0.0]]"
12,cancer,34,2,0.0046881,0.9562874678846702,0.9687892376681615,0.96,0.9712643678160919,"[13]","[7]","[11111010000000000111110010010000000]","[[1.3097748518685042,-3.3490167248916275e-16,9.778052899186596e-16,3.853055368608622e-16,0.07071825476127604,0.0,-0.032771851776918826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12284916877004422,-0.10225229238903936,-0.1212251528010059,-0.30696701263215226,-0.5264638033323196,0.0,0.0,-0.33567823330271535,0.0,0.0,-0.13084821887335296,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
