run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,nsel,nenhanced,sel,coefs
1,cancer,34,2,3.3316027,0.9494748998520337,0.9687892376681615,0.9542857142857143,0.9712643678160919,"[18]","[11]","[11111101000001111001000110001011100]","[[0.18207701263418127,-0.02825968321676994,0.37046660805210424,0.377283519234219,0.4080386667321422,-0.0065933735796965326,0.0,-0.1137266670865594,0.0,0.0,0.0,0.0,0.0,-0.19383897084605456,-0.17860379018405453,0.10328130611354434,-0.046168555117714234,0.0,0.0,0.12864007877743097,0.0,0.0,0.0,-0.9014232228528314,0.32849546883818365,0.0,0.0,0.0,0.28946922826266275,0.0,0.005570100347210294,0.3104029506612651,0.10487856367800238,0.0,0.0]]"
2,cancer,34,2,0.0032388,0.959483165477876,0.9814016460612107,0.9628571428571429,0.9827586206896551,"[18]","[12]","[11101001101000111000111100001011001]","[[1.0919887815142306,0.16266891683109372,-0.14713118404421424,0.0,-0.10529656066318177,0.0,0.0,0.41755142670087203,0.07964007931984125,0.0,0.12284938246049243,0.0,0.0,0.0,0.5575929990598659,-0.15918563388827175,-0.13439632087405098,0.0,0.0,0.0,0.3964983360685808,-0.40194530693777886,-0.03318765542254684,0.09679490151909033,0.0,0.0,0.0,0.0,0.22917073576763303,0.0,-1.189380896135373,0.05605899545762669,0.0,0.0,-0.41573963551599474]]"
3,cancer,34,2,0.003088,0.9591836734693877,0.9814016460612107,0.9628571428571429,0.9827586206896551,"[18]","[13]","[11100100010111000100100111100011110]","[[1.3607891204620097,0.1536657774080777,0.10134456858007329,0.0,0.0,-0.030566967576240122,0.0,0.0,0.0,0.09780038918493231,0.0,-0.12852479944920436,-0.3359456467455309,0.03665129941861845,0.0,0.0,0.0,0.10855497428708048,0.0,0.0,-0.029311795377528378,0.0,0.0,-0.20846654269970752,-0.1637509514151232,-0.03042220053303615,-0.16464734333473338,0.0,0.0,0.0,-0.48844689507705863,-0.1256883040088637,-0.13148994767617997,0.05622810865940256,0.0]]"
4,cancer,34,2,0.0040137,0.943590845600086,0.9687892376681615,0.9485714285714286,0.9712643678160919,"[18]","[10]","[11110101110100101101011100000000101]","[[1.816397700381451,0.3436781772242852,0.30117519870360554,-0.09410085474814446,0.0,-0.276271819724193,0.0,0.04859269027988911,0.1583221710933947,-0.44317366621584636,0.0,-0.43876850938120066,0.0,0.0,-0.43033515968720126,0.0,-0.010716071361024678,0.0183108214216674,0.0,-0.13994560328364714,0.0,-0.6904553376093168,0.03686783424780917,-0.2674707610598264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4355867614012164,0.0,0.042009988625123895]]"
5,cancer,34,2,0.0026756,0.9403453689167975,0.9814016460612107,0.9457142857142857,0.9827586206896551,"[18]","[12]","[11001011101001110001111000100101100]","[[1.087275914004276,0.09748309643598926,0.0,0.0,-0.0625334123514,0.0,0.06462515974943567,0.14764690286632642,0.121947008251177,0.0,0.21340506431728856,0.0,0.0,0.21311014014420465,-0.9156610764306652,-0.0488733238430437,0.0,0.0,0.0,-0.25282062608002265,0.2944550598656903,-0.13112860980127417,-0.1793064372431009,0.0,0.0,0.0,-0.00563413527125499,0.0,0.0,0.24761467344336627,0.0,-0.14115896761862576,-0.10992616080215135,0.0,0.0]]"
6,cancer,34,2,0.0024252,0.9529042386185244,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[18]","[11]","[11111001100100010110011100001011100]","[[-0.12859229500678673,0.6902655465679055,0.7150594890523184,-0.01858412010552261,-0.1524600263332561,0.0,0.0,0.5948983952715462,-0.06360635182429054,0.0,0.0,0.022399881762495404,0.0,0.0,0.0,-0.11539573684369973,0.0,0.5384652526871292,0.027418701100349878,0.0,0.0,-0.37383703405078,-0.1548753495441565,0.6840948698161807,0.0,0.0,0.0,0.0,0.10754430856290584,0.0,-0.07942952864057055,-0.5483252182645597,-0.12983936700017373,0.0,0.0]]"
7,cancer,34,2,0.0025939,0.9494748998520337,0.9814016460612107,0.9542857142857143,0.9827586206896551,"[18]","[13]","[11110000010100110111110000110101100]","[[1.2739092061052595,0.21005192239289427,-0.25886262009083283,-0.01644694020991233,0.0,0.0,0.0,0.0,0.0,0.09782410564231935,0.0,-0.03919993263722926,0.0,0.0,-0.47035394841353695,-0.03030503127000203,0.0,-0.14843497698423555,-0.33609224541675287,0.16808523174917264,-0.2087654725016399,0.03042384620873042,0.0,0.0,0.0,0.0,-0.40909384729864934,-0.45760673232919113,0.0,0.07283971738398173,0.0,-0.1255308547579595,0.29099842817730787,0.0,0.0]]"
8,cancer,34,2,0.0023755,0.9498585294222985,0.9876420454545455,0.9542857142857143,0.9885057471264368,"[18]","[11]","[11100101111111110010001010110000000]","[[0.6326521505857504,0.3523219712967973,0.06370108412899537,0.0,0.0,0.18062392354116652,0.0,0.5518300421936674,-0.2163258217646753,0.2828664346157189,-0.3156396110967859,-0.5952716755010083,-0.4256313162042596,-0.4768367429276657,-0.11285337326797824,0.156508651632943,0.0,0.0,0.2663645143904756,0.0,0.0,0.0,0.045381008230311576,0.0,0.47305180704769145,0.0,0.027337258195832118,0.1727532227161202,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
9,cancer,34,2,0.0035541,0.9530793361396359,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[18]","[10]","[11011101110010001110001010000001111]","[[0.568449837445855,0.30032075752260645,0.0,0.2782917781462724,-0.123051977124672,-0.36989012389884157,0.0,0.5628925493020316,0.1945002635708967,0.07809440635568063,0.0,0.0,0.5340762916955957,0.0,0.0,0.0,0.003822165580074694,-0.2914673746719131,-0.21905187624152916,0.0,0.0,0.0,-0.16155955864524668,0.0,0.07650733221964538,0.0,0.0,0.0,0.0,0.0,0.0,-0.3005442104743563,-0.010164987697282963,-0.17054616743708154,-0.0545616875346886]]"
10,cancer,34,2,0.0030416,0.9429347826086957,0.962413594470046,0.9485714285714286,0.9655172413793104,"[18]","[11]","[11110001111101100111010010000001100]","[[0.7800871488826601,0.3052731570571174,0.13572502160132352,0.02777204156059654,0.0,0.0,0.0,0.2335056697336647,0.4072811673529677,-0.10227895769694599,-0.0017503889551983825,-0.16344339579772388,0.0,-0.08479276186810068,0.036713645827708585,0.0,0.0,-0.15958457815295538,-0.17346069411510087,0.04300785851561155,0.0,-0.09628891269554762,0.0,0.0,-0.08412536165323065,0.0,0.0,0.0,0.0,0.0,0.0,-0.2706979808038577,-0.29578985167342536,0.0,0.0]]"
