atrain,atest,ftrain,ftest,nin,nout
0.8691588785046729,0.6792452830188679,0.8792085235920851,0.531823708206687,34,6
0.8411214953271028,0.6415094339622641,0.8371473319656761,0.4568150448585231,34,6
0.8691588785046729,0.6415094339622641,0.8134935856454844,0.4397979797979798,34,6
0.8037383177570093,0.6415094339622641,0.7225295529643355,0.4527674706246135,34,6
0.822429906542056,0.6415094339622641,0.8211321369216106,0.4631642512077294,34,6
0.8504672897196262,0.7169811320754716,0.7783046481676618,0.5505565862708719,34,6
0.8411214953271028,0.660377358490566,0.8116123642439432,0.5514842300556586,34,6
0.8411214953271028,0.6981132075471698,0.8127667140825036,0.5686666666666667,34,6
0.8317757009345794,0.6981132075471698,0.7903688221193942,0.47870602141565843,34,6
0.8691588785046729,0.6981132075471698,0.8665945165945166,0.5568627450980392,34,6
0.8411214953271028,0.6792452830188679,0.8321325821325821,0.5593274394988965,34,6
0.8785046728971962,0.6792452830188679,0.8306425309849969,0.42308441106939226,34,6
0.8691588785046729,0.6415094339622641,0.8504901960784315,0.48372847011144876,34,6
0.8504672897196262,0.6792452830188679,0.8577996984990496,0.47284851164161507,34,6
0.8317757009345794,0.6226415094339622,0.81998361998362,0.514074074074074,34,6
0.8598130841121495,0.6981132075471698,0.8090882509303562,0.568877763871506,34,6
0.8130841121495327,0.6226415094339622,0.787015912015912,0.4250063661828367,34,6
0.8691588785046729,0.6981132075471698,0.8082446390218875,0.6156793145654834,34,6
0.8317757009345794,0.6415094339622641,0.8124488124488124,0.511,34,6
0.8411214953271028,0.660377358490566,0.8073226613489933,0.49360544217687075,34,6
0.8504672897196262,0.6792452830188679,0.8213617376775272,0.46527777777777773,34,6
0.8317757009345794,0.6037735849056604,0.763864734299517,0.48183333333333334,34,6
0.8411214953271028,0.6981132075471698,0.8169172932330827,0.540955091714105,34,6
0.8037383177570093,0.6415094339622641,0.7825114075114076,0.4559240362811791,34,6
0.822429906542056,0.660377358490566,0.7601511799695242,0.4587340312469074,34,6
0.822429906542056,0.6792452830188679,0.8038888888888889,0.45056409660638447,34,6
0.822429906542056,0.660377358490566,0.7592301192958523,0.4620098039215686,34,6
0.8504672897196262,0.6981132075471698,0.8470252877246388,0.6331862745098038,34,6
0.8504672897196262,0.6792452830188679,0.8470252877246388,0.47222222222222215,34,6
0.8130841121495327,0.660377358490566,0.7940808171212336,0.5212045560929942,34,6
0.822429906542056,0.6226415094339622,0.7655555555555557,0.39777777777777773,34,6
0.8878504672897196,0.7169811320754716,0.8757193557193558,0.5377751100440176,34,6
0.8037383177570093,0.6981132075471698,0.7452798022418277,0.5384353741496598,34,6
0.8504672897196262,0.660377358490566,0.8702702702702703,0.5411764705882353,34,6
0.822429906542056,0.660377358490566,0.7832043938122117,0.5142087286527515,34,6
0.8317757009345794,0.7169811320754716,0.8453863488110063,0.5670927165753702,34,6
0.8504672897196262,0.6792452830188679,0.8702702702702703,0.5495450785773366,34,6
0.8411214953271028,0.6037735849056604,0.7736632736632737,0.4897031539888682,34,6
0.8691588785046729,0.6981132075471698,0.8378815178815179,0.47023060796645694,34,6
0.8130841121495327,0.6981132075471698,0.7730880230880232,0.5686666666666667,34,6
0.8411214953271028,0.6792452830188679,0.7510451727112452,0.46967120181405897,34,6
0.8504672897196262,0.660377358490566,0.8344369988205605,0.41736111111111107,34,6
0.8317757009345794,0.6415094339622641,0.803064428064428,0.4427104175003334,34,6
0.822429906542056,0.7358490566037735,0.8279756468797564,0.6433725490196078,34,6
0.8598130841121495,0.660377358490566,0.8459969558599695,0.5271263264544339,34,6
0.822429906542056,0.6226415094339622,0.7625630325160841,0.41328761677598885,34,6
0.8317757009345794,0.660377358490566,0.8330805419846516,0.5583333333333333,34,6
0.8598130841121495,0.7358490566037735,0.8458350748614066,0.5902380952380952,34,6
0.8691588785046729,0.660377358490566,0.8580088784436611,0.4627267573696145,34,6
0.8785046728971962,0.6792452830188679,0.8550076103500762,0.5751570415400203,34,6
