run,dataset,nin,nout,time,ftrain,ftest,nsel,nenhanced,sel
23,card,74,2,29.5661765,0.9180911680911681,0.8545282316722487,"29","11","110110011000000101000000011000110010000001101000110101100000011010001111010"
24,card,74,2,20.9240046,0.9036190476190477,0.8661659731384688,"28","10","111010011100000100100000000110110000000001010100110001010001000110111001001"
25,card,74,2,27.0073002,0.9152125829442124,0.8604462474645029,"29","10","100100011100000000101000110111110000000001001100111001010010011000100010110"
1,gene,145,3,952.1379454,0.887707223509406,0.8772101467693646,"49","7","10000010000011000010000011000000001000111011001001000101010111111011011111000100000001000100000100000000010000110010011010001101000101101000000000"
2,gene,145,3,1096.6904525,0.8305903445772579,0.7695307171811606,"55","8","10000101011000000010000000001000001001110110001100101001000111111011011110001110000001001100000000110000010000110111011011101010000001100000001010"
3,gene,145,3,951.6913702,0.8356689946715359,0.7823348492893641,"59","4","11000001010101000110010010001110101001100101011101001001100111111110011111000001110001001110000000110100110000101000011000000101000000000000001100"
4,gene,145,3,1104.8500022,0.8877427866046915,0.8572265726173575,"63","10","10100011100100000010000001011011101110000101001001101011110111111011111110010011101001000100010000010000000000100011110000110011001000001110000101"
5,gene,145,3,1128.4944573,0.7801796548123012,0.7248560102942104,"69","12","10000011010011000010001001001011101001110011001110100111000011111011011110100111010001000100100010000100110000101111011010011010101110010001100011"
6,gene,145,3,1215.775558,0.8480667250562108,0.8165278838808251,"65","7","10100011010100000010101001000010101000101111001010100001110011111111011110011110010000000100000110110000110000111111011110101100000010000100010010"
7,gene,145,3,920.2379798,0.8808965866367077,0.8360454390646149,"70","11","11010101101101001110101001000010101110000100001101100011011011111111011110011111000101000100000001000000110001101101011000010001111000111000100011"
8,gene,145,3,981.6354944,0.8341171919887129,0.7929169419001417,"74","7","10110101101101101010101000100011101010111011000111100101100111111111011111011100110111100100010100100000011000011011011000101001100001100100000000"
9,gene,145,3,1041.2540057,0.7302528921409882,0.6918680942787027,"55","7","10100011001101100100001010000101101000100011011000101000000011111100011111000001111000001100000110000100010001101001001000011000010101100000010000"
10,gene,145,3,1450.1276503,0.8403644285997226,0.786671335200747,"69","7","10001011010001000010001011001101101001101111001000110101100111111111011111000010010001100000100101011100111000111111011001110000100001000100010000"
11,gene,145,3,821.8412951,0.84730187056176,0.7937870545103484,"64","7","11110101001110000010010010000000001001110011001001100101100111111111111110000000110011000100100111100100110001010011011000010100000001001000101100"
12,gene,145,3,1267.7076865,0.7788397209446991,0.7327185976136561,"61","9","11000001100001000110001010000010101101101011101100010001000011111011011110001111000001001100000000100000010010111011011010101101000100100011100000"
13,gene,145,3,1045.0156356,0.7971042196480306,0.7553433568759358,"64","6","10111101101100110011001011000010111000101110000000100001100011111111011110000101110001001100001000110000000001101111011010000010011001100000000010"
14,gene,145,3,1068.7964816,0.82680156327392,0.7653995140868602,"67","11","11001101000010000010000001100001001000101100101110101101000111111111011110011111110001000100000100101100110000110001011010000111010100010110110010"
15,gene,145,3,1368.5284669,0.8829182415790906,0.8376294384146866,"77","11","10011010100110000010101010000110111011110011011101101111011011111111011111100011101000001100000101001100011000111110011000111101001001011100010000"
16,gene,145,3,1044.6800365,0.7876633608324054,0.733481504166981,"61","7","11110010010111000110010010000000001101110011101000001101000011111111011110110110100000000011011000000000010000110101011100001100000100000010011001"
17,gene,145,3,1013.8664394,0.833576131344918,0.785561608503146,"56","6","10110000010100001110000011000010101001100110001011000101100111111011011110011110000000000100010000110000010000110011011000000000010111000010100000"
18,gene,145,3,1350.1965368,0.8835752552428048,0.858434811692872,"68","9","11100000100101101010000011000100100000101111001001100011010111111011011110101111000001100110010110101000000011101011011010010100101011001100001000"
19,gene,145,3,895.3772576,0.859446511981671,0.8030994759972637,"77","13","10010011101001011111010011000000101000011101111100100001110011111111011111001001000100010110010100101011011101101111010001111010001001010110101001"
20,gene,145,3,740.4769536,0.7957227337467042,0.7531189265653836,"59","6","11000010001100010010001100001010001101110101001010000111100011111011011110001111000001001100010000010000010000111111011000000101000010100010010000"
21,gene,145,3,950.7077082,0.8545555282873628,0.7857656395891691,"78","13","10000101010101110010001011010110001101110010011001100101100111111011011110100101111101011100110010111000010100111000011010010011101110001100010111"
22,gene,145,3,1239.7387443,0.8424260247705141,0.8041683000783205,"75","13","11000010010101001110001001000100101101111011101101000101010011111111011110000010101001011100000101011000011000111111011010100100101010111101111000"
23,gene,145,3,1029.0786795,0.8327203470139536,0.7763116147651022,"67","7","11100000101110001110101010000010101110101111001101000101100111111011011111000111100100000111000100101000010001100011011001001101000110000000001000"
24,gene,145,3,1132.284757,0.769794864643412,0.7258603694459782,"65","11","10010011001101000010001010001010101011110011001011100011000011111111011110100011000000000110010100100100010000000111011010111000111000010001001101"
25,gene,145,3,829.9599162,0.8576776700174268,0.814929607101824,"63","11","10010101010010011110000000000010001100111011101101100001001111111011011110000000000001100110110110100100010000000011001100000110011101000100100111"
1,glass,34,6,4.4938711,0.6914837819185644,0.4596014859844647,"14","8","10110001111001000001011110000000100"
2,glass,34,6,4.192858,0.6189685504753998,0.34381025137327653,"15","8","10111101101001001000100110100000100"
3,glass,34,6,7.9921874,0.6314783873263405,0.4664252685978512,"15","10","10000111100001100011000100111000110"
4,glass,34,6,4.1521836,0.6211002429356859,0.39326923076923076,"12","9","10000011000000001001011100010010110"
5,glass,34,6,7.01864,0.6034477209176005,0.3264381402679275,"14","7","11110011101000001100100000000011010"
6,glass,34,6,6.122172,0.6754745028713107,0.5891252955082742,"19","13","10110001110111011000111010000101011"
7,glass,34,6,6.1654316,0.7207878112225937,0.5413826870348609,"24","16","11111110101001011111101110101110010"
8,glass,34,6,3.2083424,0.5502250595654993,0.42441058079355953,"14","6","11111101010100000110100100000000010"
9,glass,34,6,2.8106297,0.5834881422924901,0.4467320261437908,"14","12","10000100001100100001101000100011111"
10,glass,34,6,4.4665884,0.680874680874681,0.35223039215686275,"18","11","10111111000110001011100001010110001"
11,glass,34,6,6.091089,0.6058166074409271,0.49206349206349204,"12","7","11011010000001010100000010100100100"
12,glass,34,6,5.6646869,0.6854585092869159,0.43842268842268833,"18","12","10110001110110000110001111101010100"
13,glass,34,6,5.6043723,0.6728780796286516,0.4946233644184197,"14","8","11100010110010001100000010101010001"
14,glass,34,6,3.3156305,0.6338528718046791,0.49139837511930534,"17","11","11100101101000011011010111100001000"
15,glass,34,6,2.7544242,0.6222824292444545,0.6294117647058823,"16","9","10101011110101000001001100101110000"
16,glass,34,6,3.1602035,0.7198382122983112,0.42239475500345064,"22","14","10111011110110111011011110011010000"
17,glass,34,6,3.464815,0.6119015021123455,0.4299180035650624,"14","9","10010110101011101010000000110000001"
18,glass,34,6,9.1808675,0.6836128007014084,0.45957019171304886,"21","14","10111101100110101101011000011001111"
19,glass,34,6,3.2103977,0.6786019536019537,0.45957019171304886,"12","7","11011010000000101010010000001000011"
20,glass,34,6,5.3993705,0.6214406726071625,0.3426873164724827,"12","4","10111011110000010000000000000001110"
21,glass,34,6,7.0763445,0.6871653241273495,0.4568150448585231,"14","10","10011100000011000000110001011110010"
22,glass,34,6,2.0991656,0.5455001703488219,0.5582623224728487,"12","8","10110001000000010111010101000001000"
23,glass,34,6,3.609665,0.6090625573289304,0.39163239763990704,"12","9","10100001000111010000010001001000101"
24,glass,34,6,3.7657173,0.631911663216011,0.5714485794317727,"13","7","11011100010010011000000000000111100"
25,glass,34,6,7.4025826,0.6699848212079494,0.46994348996852126,"19","14","10001001111100010111100011100011011"
1,heart,57,2,36.5905965,0.8988991667303723,0.7947793070716659,"28","10","1100001111101001010101001011111000111100011110001001000000"
2,heart,57,2,41.8353201,0.8900047824007652,0.7951836904829572,"36","14","1010011001111110001101111101111100001101001011110110110101"
