run,dataset,nin,nout,time,ftrain,ftest,nsel,nenhanced,sel
23,card,74,2,37.8879007,0.9210599910170253,0.8545282316722487,"33","11","110100011010000101000010010001110010110011101000110100001011101010101001010"
24,card,74,2,21.7858536,0.9067567567567567,0.8430179494980226,"27","7","110101010010100000110010010111001010000001000100110000010001000100011010100"
25,card,74,2,19.1244247,0.9123356823417808,0.8604462474645029,"24","7","100100011000010001100010000110000010000101011000110001000000110010000010110"
1,gene,145,3,813.2740443,0.8395582356451922,0.7955289079393703,"59","4","10100100001010010010010011001110101001110011001100100101100111111011011110010111100001000100000011010100000010111001010000010100000000101000000000"
2,gene,145,3,796.087657,0.7865170397318141,0.702114770837698,"65","8","11011001010111010111110010011000001001010011100111010001000011111010011110000001000010011110000100110100010000111010011010101010000001000110101000"
3,gene,145,3,749.6799333,0.8145185694691605,0.75571562392218,"56","4","10000000010111110010000111001100101110100000011001101101000111111100011110001111100010001110000010000100010100101000010001000100000000011000000000"
4,gene,145,3,741.8256917,0.8766418749743741,0.8422960391001569,"64","9","11000011100100000010011010000010101101010010001011100001111011111111011110011011101101100100010000100100010000110000011001010011001000010000100101"
5,gene,145,3,1109.2255008,0.8014234554732257,0.7553273035096176,"66","9","11110010000011001010001111010110001101110011001000000001100011111011111110000110111001000100000110100000110001011110011001010001100010000100100011"
6,gene,145,3,873.3435652,0.881959020489755,0.8318376606194376,"67","14","10001011000000000110001011000000101101110101100111101011111011111011111001000100100100000100100010010000010000010111000110111110010010001110100111"
7,gene,145,3,795.4165153,0.8854612538289081,0.8464168979877177,"66","6","10000001010101000010001000001111101010101111001010100111110111111011011111000000111011000110000111101100010001111001010000111000000010010000000010"
8,gene,145,3,777.7423432,0.8494855034869201,0.8193289291737078,"63","5","11010111000100000010001010000010101001110010000010100111110011111011011111100110001111010100110000111100010000111011001001000001000100011000000000"
9,gene,145,3,808.6663616,0.7863025757678042,0.7618494565532153,"67","8","11001001001001000100000000001010101001110111100110100001100011111011011110001110001011100111001110101101010010111001011000111100000100101000100000"
10,gene,145,3,658.9517337,0.8267603438805192,0.7639023459187628,"63","6","10000111011101010110011010101100101100000111000000000011000111111110011111000001100010001111000001111100011001101000011000000000100000000110010110"
11,gene,145,3,996.0787947,0.8389934830674726,0.7821915424007796,"76","6","10110000101111000010011110001110111010110101011011100011101011111111011111100101110111101101000100010100111001110010011000000100010001001001001000"
12,gene,145,3,768.0509855,0.8467839899736472,0.7909385572109913,"73","9","11100101100011010010001101100010101001110011000111100001101011111111011110010101100001101110001100111100110000011001111000101010100000100100100011"
13,gene,145,3,733.3083524,0.8852825661606328,0.836248512071391,"64","6","10110001101101001010010110011100111000100010101000001011011011111011111110110100111000000110000000100100000000111110010111000010011001100000000000"
14,gene,145,3,759.9633046,0.8598715413076867,0.8158906615641675,"80","14","11101010100101000110101010000101111101100011100001100110101111111011111110010100111101001100110000001100110001101101111001110110001000111111010001"
15,gene,145,3,900.5822518,0.880553788623139,0.8490516541842924,"61","7","10000000000000000000001110000000110100100100101100000001110111111111011111001100000101010101010101111110011001110111110001011000001000001100010000"
16,gene,145,3,715.4410745,0.822705227588363,0.7654068072869372,"71","10","10001001001100011010001101011101001000110110101110111101000111111111011111101100001001111111000010010001011000110000000000111010010111000000011000"
17,gene,145,3,951.5303957,0.8262833273141984,0.7911302623756308,"55","6","10100001000100000110001001000011001001110100001011100011101011111011011110100100000100000100000000110100010001111011010000000000010011100000100010"
18,gene,145,3,766.2098915,0.8767823329646518,0.8554569914822808,"56","9","10000010000110000010000000000010100000001101011001000111010111111011011110110101001000000100000100101100110001101011001000010100011110001100000010"
19,gene,145,3,1081.8949717,0.8074356586960189,0.7523229151717791,"65","9","10000010011001011010001010000001101001110011001010001101100011111111011110000011100000100110000101100110010000110111111000100000111000010110100001"
20,gene,145,3,961.5437012,0.8395661674688105,0.796421652148231,"62","7","10100001001100001110001001010011101001100011101000101001100111111011011111001110100000001100001010111100010001101001000000000001000010100100101001"
21,gene,145,3,1235.6094862,0.788023383631207,0.7211572174089275,"63","11","10110011010101000110001010000101001101101111010001100001000011111011011110001111000000000110000010001000000000111011010100110011101110011000000001"
22,gene,145,3,783.6849956,0.8262873791493517,0.7943047251142099,"58","6","11011101000101010010000110000101001001111111100001000101000111111011011110000100101110001100000000000000010000110101010011100000100000100000011000"
23,gene,145,3,973.704871,0.8348175179916875,0.7730262530970077,"63","6","11100000000100000010011011000010101111110001001011000111101011111011011111000101110000100100000010100110110001011001111000001001001111000000000000"
24,gene,145,3,761.6029161,0.8714607838142752,0.8399596562711418,"68","10","10001011010101010010001010001011111011001001011010000100010111111110011010001111000011101100110100100101000000111000011100110100111010010000001100"
25,gene,145,3,693.4106779,0.8145414771785507,0.7679242978439621,"70","12","11001010110001100111011110100100100000011110011001001010001011111110011111011001010100011001000011100110010001100010001000001001011011001110101001"
1,glass,34,6,6.0245393,0.7154477458825285,0.4351764705882353,"14","9","11100001101101000010010111010000000"
2,glass,34,6,7.1349149,0.7019745649263722,0.49800413904381075,"18","12","10010011111001111000000110001111100"
3,glass,34,6,15.0015352,0.6336064347175459,0.41203703703703703,"20","11","11110111111111111110000100001000000"
4,glass,34,6,7.3032877,0.5978175023986264,0.40867026711428994,"15","10","10011000110001001111011110000100000"
5,glass,34,6,13.4939319,0.6615370897516134,0.4381313131313131,"17","9","11111001111111010000100011000100000"
6,glass,34,6,8.7781066,0.6948454273055263,0.37567502986857826,"17","11","10100111101011011000010011100001010"
7,glass,34,6,11.4017541,0.6347313828287954,0.5392857142857143,"16","10","10101111001010000101001000101110001"
8,glass,34,6,6.7709207,0.5576439864483342,0.3566784869976359,"13","7","10011101010100000100101100000001010"
9,glass,34,6,5.5026293,0.6163175964635322,0.4592842513349426,"15","11","10000111000011101100101000100001101"
10,glass,34,6,10.7256211,0.7026631596251849,0.49572192513368984,"18","11","10011101110100000101111001010001101"
11,glass,34,6,9.3913044,0.6847109304426379,0.525149190110827,"16","12","11100001000100001101000101111100101"
12,glass,34,6,16.0331434,0.723953823953824,0.46990824073407406,"18","11","10110011110010000110001111001010101"
13,glass,34,6,6.2527956,0.7138869902027797,0.34794513120798093,"16","10","10110011100011100010010000101010011"
14,glass,34,6,9.4228125,0.5568478638098892,0.46062091503267977,"12","9","11000000100000000100101010100011011"
15,glass,34,6,9.0587657,0.6347541347541347,0.5629451780712285,"15","8","10101011110010000001100101101100000"
16,glass,34,6,10.4350543,0.6986596119929454,0.35856009070294786,"17","11","10101100110100111001011100011010000"
17,glass,34,6,7.1504591,0.6695900337502482,0.43902598250424335,"14","11","10000010101100100000100110011100011"
18,glass,34,6,11.1062086,0.6440620782726046,0.44119203236850296,"17","8","11111101110010001100001001000001011"
19,glass,34,6,5.4661332,0.6862764288851245,0.42401960784313725,"18","12","11101101001001001010111000001101110"
20,glass,34,6,10.3427357,0.7020476091414306,0.48454545454545456,"15","11","10000011100100010101001000101110101"
21,glass,34,6,7.1362622,0.6917699386806938,0.4429261559696342,"19","17","10000010001110111111111010001110010"
22,glass,34,6,14.7372201,0.6250256322624744,0.4865317094579767,"17","12","10010010111101111000010111000000011"
23,glass,34,6,8.3239382,0.6083219849204504,0.42892156862745096,"14","9","10100101101110110000000001001000101"
24,glass,34,6,4.0827488,0.5465311708001767,0.41225490196078435,"14","9","10010010110110010000001110010010100"
25,glass,34,6,9.8111714,0.7150346221284436,0.5479191676670668,"16","7","11101111110010000000001100001100011"
1,heart,57,2,17.6989462,0.898804399808704,0.7992562234365513,"32","12","1110011001101110011101010011011100110101111111010001000000"
2,heart,57,2,17.2933783,0.8897855130244772,0.8032730797741916,"26","9","1100001010001110011101010101110010000011010001100011100010"
3,heart,57,2,22.5538939,0.8946886446886446,0.7949972501943828,"31","14","1010001001101110011101010011011001000110101111010010111100"
4,heart,57,2,17.5703589,0.8963442406808102,0.8072380952380952,"31","13","1110001011110100000101110101100111000111110010101101000011"
5,heart,57,2,20.3629709,0.894503478327345,0.8027030633447073,"28","12","1110001000101000001001101011111100011100101101100011001010"
6,heart,57,2,14.4130194,0.894503478327345,0.8160000000000001,"27","10","1010001001110011010111010011100100000100111001111100010000"
7,heart,57,2,25.7585416,0.8812051649928264,0.7728136159866271,"27","12","1110101010000101000100010011101101100000111000111010001011"
8,heart,57,2,14.82635,0.8918171739036529,0.7812690200852099,"26","8","1100011111101101010100010001100110010000010110010100010010"
9,heart,57,2,13.9283063,0.8925392489189563,0.786046511627907,"28","11","1100001100111001010100101001111100110110100100001010110001"
10,heart,57,2,14.3541806,0.8943014705882353,0.8035121025154248,"33","14","1110101101101010000111011001110011010000110111111101000011"
11,heart,57,2,14.8695571,0.9010511522521618,0.7907347031617257,"24","10","1010001010011000010100101001101010010010010011111001000001"
12,heart,57,2,23.4643974,0.9009564639065258,0.8081734778982486,"33","12","1011101111110110011101100001110010111100010001111101000100"
13,heart,57,2,29.9972348,0.8945981554677207,0.7992562234365513,"31","12","1000101011110110000101011101111100110000100100101011011101"
14,heart,57,2,18.1271611,0.8965545289690381,0.7902894916799635,"32","11","1111110011101110011100011101001010111100010111010010000001"
15,heart,57,2,22.8002976,0.8988991667303723,0.7992562234365513,"24","9","1010011000110100010101000011101101010100100100000010101010"
16,heart,57,2,25.9188185,0.900422842134126,0.786046511627907,"31","13","1110011001100110011100011011100100101001101110000111110001"
17,heart,57,2,22.4753597,0.9095768908066643,0.7981532356532357,"30","14","1010011110100010010100001011110010101110111100010110100011"
18,heart,57,2,23.5254396,0.8987055759803921,0.7984761904761905,"34","18","1000001011011100010101001101110011101100001101111110111111"
19,heart,57,2,18.5400965,0.8901077899243177,0.7844093735054998,"24","8","1010010001100010010100110011111010100100001000100100101100"
20,heart,57,2,16.5867228,0.8919333573055256,0.7945296610974891,"31","11","1111110100001101011101010001111100101011000110011010100001"
21,heart,57,2,22.2465054,0.8923544947013005,0.8032730797741916,"25","7","1011110101100100011101000011101100010100110001001000010000"
22,heart,57,2,17.1774349,0.8900047824007652,0.7854926816269818,"31","10","1111110101101110001101001011110010100000001100001101010111"
23,heart,57,2,30.6364874,0.8922556991190207,0.8165033052199681,"34","14","1010011011011100011101011101101101111011011110011000010010"
24,heart,57,2,16.3584409,0.9011418828889494,0.7773137161841481,"28","10","1010001011111010010100101101101100011100001101001010001001"
25,heart,57,2,17.0108243,0.8987055759803921,0.8120164984508943,"28","11","1011101011101010010101010001101000111111001110000010000010"
